"model_id","name","north","south","east","west","lat","lng","scale","rotate","gps_mapping","color","zone_id"
"81","Hutchinson Hall","47.660072326660156","47.6591682434082","-122.30599975585938","-122.30731964111328","47.65962219238281","-122.3066635131836","0","0",,"ff0000","22"
"85","Bartels Hall","42.4461669921875","42.4451468322754","-76.47540283203125","-76.4780044555664","42.44575500488281","-76.4767074584961","0","0",,"ff0000","23"
"83","Court Kay Hall","42.45473098754883","42.45393753051758","-76.4776611328125","-76.4784164428711","42.4543342590332","-76.47803497314453","0","0",,"ff0000","23"
"84","Friedman Wrestling Center","42.4462198547363","42.44538497924805","-76.47417449951172","-76.47493743896484","42.44560241699219","-76.47455596923828","0","0",,"ff0000","23"
"86","Thurston, Kimball, Bard Halls","42.444175720214844","42.443599700927734","-76.48308563232422","-76.48433685302734","42.44388961791992","-76.48371124267578","0","0",,"ff0000","23"
"87","Rand Hall","42.45133972167969","42.4510498046875","-76.48250579833984","-76.48336029052734","42.451194763183594","-76.4829330444336","0","0",,"ff0000","23"
"88","Mews Hall","42.45494079589844","42.45387649536133","-76.47618103027344","-76.47757720947266","42.454410552978516","-76.47687530517578","0","0",,"ff0000","23"
"89","Olin library","42.44816207885742","42.44754409790039","-76.48373413085938","-76.48495483398438","42.447853088378906","-76.48434448242188","0","0",,"ff0000","23"
"90","Morrill hall","42.44891357421875","42.44834899902344","-76.48517608642578","-76.48562622070312","42.448631286621094","-76.48539733886719","0","0",,"ff0000","23"
"91","Chemistry Building","47.65327835083008","47.65275573730469","-122.30780792236328","-122.30860900878906","47.653018951416016","-122.30821228027344","0","0",,"ff0000","22"
"92","Sibley Hall","42.45107650756836","42.450748443603516","-76.4832763671875","-76.48499298095703","42.45091247558594","-76.484130859375","0","0",,"ff0000","23"
"93","Clara Dickson Hall","42.45512390136719","42.45400619506836","-76.47836303710938","-76.48003387451172","42.454566955566406","-76.47920227050781","0","0",,"ff0000","23"
"94","Risley Residential College for the Creative and Performing Arts","42.4534797668457","42.45245361328125","-76.4813003540039","-76.48267364501953","42.452964782714844","-76.48198699951172","0","0",,"ff0000","23"
"95","Schoellkopf","42.445518493652344","42.44255447387695","-76.47696685791016","-76.47960662841797","42.44403839111328","-76.47828674316406","0","0",,"ff0000","23"
"96","Rhodes hall","42.44377899169922","42.44303512573242","-76.48063659667969","-76.48225402832031","42.44340896606445","-76.4814453125","0","0",,"ff0000","23"
"97","Hollister hall","42.44477462768555","42.443851470947266","-76.48426055908203","-76.485107421875","42.444313049316406","-76.48468780517578","0","0",,"ff0000","23"
"98","Comstock Hall","42.446929931640625","42.44610595703125","-76.47909545898438","-76.47966003417969","42.44651794433594","-76.47937774658203","0","0",,"ff0000","23"
