"flag_id","model_id","latitude","longitude","omit","winning_team_id","winning_player_id","team1","team2","team3","team4","disputed","snapshot_id","collectable","collector"
"258","36","47.598660244285384","-122.32539100256761","0","3","0","0","0","3089","472","0","0","0","0"
"259","36","47.59872958987979","-122.3256109003996","0","3","0","0","0","1682","965","1","0","0","0"
"260","36","47.598769787585326","-122.32530790864298","0","4","0","0","0","861","1790","1","0","0","0"
"261","13","47.65441345068823","-122.3065840209647","0","4","0","11","33","6587","31263","0","5339","0","0"
"262","5","47.65312484731261","-122.30611573454536","0","3","0","1238","0","5081","11","0","5440","0","0"
"263","30","47.65495259266129","-122.30745954205622","0","4","0","0","0","3253","14010","0","5491","0","0"
"264","38","36.996433698531206","-122.05424116399843","0","0","0","0","0","0","0","1","0","0","0"
"265","38","36.996461896569315","-122.0541062028351","0","0","0","0","0","0","0","1","0","0","0"
"266","38","36.99644353580315","-122.05440345557862","0","0","0","0","0","0","0","1","0","0","0"
"267","5","47.65317116292809","-122.3062426225357","0","3","0","486","0","7039","11","0","5623","0","0"
"268","13","47.65384164962041","-122.30611930187817","0","4","0","0","0","2928","4860","0","5745","0","0"
"269","31","47.654775781775","-122.3086720860989","0","0","0","0","0","0","0","1","5764","0","0"
"270","13","47.65420126591204","-122.30607423362761","0","4","0","0","41","545","143666","0","5801","0","0"
"271","13","47.654216912766884","-122.30625728508926","0","4","0","0","0","1894","78476","0","5865","0","0"
"272","13","47.65406547671799","-122.30614207904598","0","4","0","0","0","2615","8187","0","5866","0","0"
"273","36","47.59876999043524","-122.32547724502246","0","4","0","0","0","617","1297","1","5996","0","0"
"274","30","47.65534335999196","-122.30755507835875","0","2","0","0","24830","79","13555","0","6077","0","0"
"275","13","47.654317470087534","-122.30615524223288","0","4","0","0","0","499","118941","0","6109","0","0"
"276","13","47.65421246710169","-122.30640976927867","0","3","0","0","488","30476","20030","0","6111","0","0"
"277","13","47.65421868786525","-122.30592200397021","0","4","0","38","323","2525","19020","0","6166","0","0"
"278","30","47.65512633406651","-122.30737067410243","0","4","0","0","426","44","6705","0","6236","0","0"
"279","30","47.654850984450995","-122.30734164518239","0","4","0","0","0","3301","24389","0","6305","0","0"
"280","30","47.65473759373727","-122.30722293866242","0","4","0","0","0","7128","39429","0","6337","0","0"
"281","30","47.654826443967195","-122.30710797254774","0","4","0","0","0","327","1406","1","6363","0","0"
"282","5","47.65335797658034","-122.3065929163044","0","3","0","2288","0","7652","11","0","6413","0","0"
"415","35","42.446599095612164","-76.47997910384582","0","0","0","0","0","0","0","1","1854","0","0"
"414","33","42.448876367192575","-76.4835705425181","0","3","0","0","0","520","115","1","33","0","0"
"413","30","47.65508722224427","-122.30767107311081","0","4","0","0","45","0","590","1","8496","0","0"
"286","30","47.65464008035657","-122.30712612766465","0","4","0","0","0","2748","23073","0","7103","0","0"
"287","5","47.65363298459109","-122.30657754233049","0","3","0","2027","0","4482","169","0","7318","0","0"
"288","5","47.653187473125","-122.30648134696145","0","3","0","236","0","5754","33","0","7454","0","0"
"289","5","47.65322910275","-122.30664552969546","0","3","0","46","0","1493","0","1","7561","0","0"
"290","1","47.653639373148536","-122.30546732528131","0","3","7","127","11","12678","629","0","7851","0","0"
"416","35","42.44678789343212","-76.48042441208841","0","0","0","0","0","70","0","1","1854","0","0"
"292","31","47.65550163594809","-122.30787272837453","0","4","0","0","28","0","6960","0","8229","0","0"
